,mean_fit_time,mean_score_time,mean_test_score,mean_train_score,param_criterion,param_max_depth,param_min_samples_leaf,param_min_samples_split,params,rank_test_score,split0_test_score,split0_train_score,split1_test_score,split1_train_score,split2_test_score,split2_train_score,split3_test_score,split3_train_score,split4_test_score,split4_train_score,split5_test_score,split5_train_score,std_fit_time,std_score_time,std_test_score,std_train_score
171,0.0229854186376,0.00117437044779,0.600741294432,0.601209672241,gini,30.0,0.29354838709677422,0.50645161290322582,"{'min_samples_split': 0.50645161290322582, 'criterion': 'gini', 'max_depth': 30.0, 'min_samples_leaf': 0.29354838709677422}",80,0.607330583109,0.599906449242,0.624567498122,0.596484730735,0.59241474649,0.603107310403,0.596581727781,0.601731071739,0.605854916562,0.600204339616,0.577681034833,0.605824131713,0.000338562565038,5.57786820568e-05,0.0144664972386,0.00289252716359
77,0.0229254961014,0.00118982791901,0.600279739995,0.600704472897,gini,17.0,0.30645161290322581,0.33225806451612905,"{'min_samples_split': 0.33225806451612905, 'criterion': 'gini', 'max_depth': 17.0, 'min_samples_leaf': 0.30645161290322581}",82,0.606957448781,0.599385254468,0.621614774171,0.595953499069,0.591318111325,0.602655388966,0.598400933999,0.601231400025,0.605351904881,0.599808873538,0.578019086563,0.605192421314,0.000140234229741,4.1722513374e-05,0.0135700402962,0.00286762371083
93,0.0226228634516,0.00112962722778,0.600279739995,0.600704472897,gini,17.0,0.30645161290322581,0.24516129032258066,"{'min_samples_split': 0.24516129032258066, 'criterion': 'gini', 'max_depth': 17.0, 'min_samples_leaf': 0.30645161290322581}",82,0.606957448781,0.599385254468,0.621614774171,0.595953499069,0.591318111325,0.602655388966,0.598400933999,0.601231400025,0.605351904881,0.599808873538,0.578019086563,0.605192421314,0.000191471070633,4.83162961492e-05,0.0135700402962,0.00286762371083
9,0.0232541561127,0.00119133790334,0.600279739995,0.600704472897,gini,24.0,0.30645161290322581,0.53548387096774197,"{'min_samples_split': 0.53548387096774197, 'criterion': 'gini', 'max_depth': 24.0, 'min_samples_leaf': 0.30645161290322581}",82,0.606957448781,0.599385254468,0.621614774171,0.595953499069,0.591318111325,0.602655388966,0.598400933999,0.601231400025,0.605351904881,0.599808873538,0.578019086563,0.605192421314,0.000831030475984,3.93509646122e-05,0.0135700402962,0.00286762371083
186,0.0229953527451,0.0011313756307,0.599979601829,0.601513605225,gini,20.0,0.28064516129032258,0.3612903225806452,"{'min_samples_split': 0.3612903225806452, 'criterion': 'gini', 'max_depth': 20.0, 'min_samples_leaf': 0.28064516129032258}",85,0.607330583109,0.599906449242,0.623305357921,0.596824541584,0.591950070573,0.603314375289,0.597073122564,0.602028785548,0.605081231159,0.600681331689,0.575119508838,0.606326147996,0.00060759122516,6.41083969113e-05,0.0148048255153,0.00294198626027
126,0.023358742396,0.00123079617818,0.599979601829,0.601513605225,gini,8.0,0.28064516129032258,0.10000000000000001,"{'min_samples_split': 0.10000000000000001, 'criterion': 'gini', 'max_depth': 8.0, 'min_samples_leaf': 0.28064516129032258}",85,0.607330583109,0.599906449242,0.623305357921,0.596824541584,0.591950070573,0.603314375289,0.597073122564,0.602028785548,0.605081231159,0.600681331689,0.575119508838,0.606326147996,0.000258300377415,6.14037267363e-05,0.0148048255153,0.00294198626027
43,0.0230641762416,0.00120015939077,0.599979601829,0.601513605225,gini,32.0,0.28064516129032258,0.21612903225806451,"{'min_samples_split': 0.21612903225806451, 'criterion': 'gini', 'max_depth': 32.0, 'min_samples_leaf': 0.28064516129032258}",85,0.607330583109,0.599906449242,0.623305357921,0.596824541584,0.591950070573,0.603314375289,0.597073122564,0.602028785548,0.605081231159,0.600681331689,0.575119508838,0.606326147996,0.000205841062054,4.28310238496e-05,0.0148048255153,0.00294198626027
142,0.0232634544373,0.0011693239212,0.599879820267,0.601928147238,gini,6.0,0.26774193548387099,0.56451612903225812,"{'min_samples_split': 0.56451612903225812, 'criterion': 'gini', 'max_depth': 6.0, 'min_samples_leaf': 0.26774193548387099}",88,0.604315379624,0.60100697125,0.621257641253,0.597629400751,0.59388312239,0.603211167836,0.600331662436,0.601913878464,0.603818474353,0.601112035939,0.575658532902,0.606695429187,0.000484101610607,5.967402394e-05,0.013632101838,0.00271928749364
39,0.0227423906326,0.00114444891612,0.599879820267,0.601928147238,gini,29.0,0.26774193548387099,0.47741935483870968,"{'min_samples_split': 0.47741935483870968, 'criterion': 'gini', 'max_depth': 29.0, 'min_samples_leaf': 0.26774193548387099}",88,0.604315379624,0.60100697125,0.621257641253,0.597629400751,0.59388312239,0.603211167836,0.600331662436,0.601913878464,0.603818474353,0.601112035939,0.575658532902,0.606695429187,0.000236340275999,0.000105616776928,0.013632101838,0.00271928749364
55,0.0225494305293,0.00114432970683,0.598608875712,0.598780818658,gini,19.0,0.3193548387096774,0.18709677419354839,"{'min_samples_split': 0.18709677419354839, 'criterion': 'gini', 'max_depth': 19.0, 'min_samples_leaf': 0.3193548387096774}",90,0.606068647446,0.597317197453,0.618331586319,0.594710993811,0.589366472471,0.600664757213,0.597926964563,0.598948927492,0.603880624757,0.597761461436,0.57606280095,0.60328157454,0.000500713347527,6.75730111384e-05,0.0133330538402,0.00269502748992
72,0.0220066308975,0.00109136104584,0.598608875712,0.598780818658,gini,7.0,0.3193548387096774,0.39032258064516134,"{'min_samples_split': 0.39032258064516134, 'criterion': 'gini', 'max_depth': 7.0, 'min_samples_leaf': 0.3193548387096774}",90,0.606068647446,0.597317197453,0.618331586319,0.594710993811,0.589366472471,0.600664757213,0.597926964563,0.598948927492,0.603880624757,0.597761461436,0.57606280095,0.60328157454,0.000128100962466,2.43998828766e-05,0.0133330538402,0.00269502748992
107,0.0226193269094,0.00114500522614,0.598608875712,0.598780818658,gini,23.0,0.3193548387096774,0.27419354838709675,"{'min_samples_split': 0.27419354838709675, 'criterion': 'gini', 'max_depth': 23.0, 'min_samples_leaf': 0.3193548387096774}",90,0.606068647446,0.597317197453,0.618331586319,0.594710993811,0.589366472471,0.600664757213,0.597926964563,0.598948927492,0.603880624757,0.597761461436,0.57606280095,0.60328157454,0.000405330112134,6.63116250432e-05,0.0133330538402,0.00269502748992
165,0.0231854518255,0.00116264820099,0.592210481517,0.596837592796,entropy,29.0,0.30645161290322581,0.3612903225806452,"{'min_samples_split': 0.3612903225806452, 'criterion': 'entropy', 'max_depth': 29.0, 'min_samples_leaf': 0.30645161290322581}",93,0.606957448781,0.599385254468,0.573210508984,0.572752218466,0.591318111325,0.602655388966,0.598400933999,0.601231400025,0.605351904881,0.599808873538,0.578019086563,0.605192421314,0.00186109436667,7.8028922875e-05,0.0128570516714,0.010942118927
103,0.0240614016851,0.00119185447693,0.592179800556,0.59725425353,entropy,23.0,0.29354838709677422,0.27419354838709675,"{'min_samples_split': 0.27419354838709675, 'criterion': 'entropy', 'max_depth': 23.0, 'min_samples_leaf': 0.29354838709677422}",94,0.607330583109,0.599906449242,0.573210508984,0.572752218466,0.59241474649,0.603107310403,0.596581727781,0.601731071739,0.605854916562,0.600204339616,0.577681034833,0.605824131713,0.00212239255573,7.32265965355e-05,0.0129497922377,0.011134255404
108,0.0244963566462,0.00114651521047,0.591870097821,0.59778195019,entropy,14.0,0.26774193548387099,0.53548387096774197,"{'min_samples_split': 0.53548387096774197, 'criterion': 'entropy', 'max_depth': 14.0, 'min_samples_leaf': 0.26774193548387099}",95,0.604315379624,0.60100697125,0.573210508984,0.572752218466,0.59388312239,0.603211167836,0.600331662436,0.601913878464,0.603818474353,0.601112035939,0.575658532902,0.606695429187,0.00218376562955,7.11129014895e-05,0.0128086656396,0.0113576482707
73,0.0249638557434,0.00119912624359,0.591870097821,0.59778195019,entropy,13.0,0.26774193548387099,0.50645161290322582,"{'min_samples_split': 0.50645161290322582, 'criterion': 'entropy', 'max_depth': 13.0, 'min_samples_leaf': 0.26774193548387099}",95,0.604315379624,0.60100697125,0.573210508984,0.572752218466,0.59388312239,0.603211167836,0.600331662436,0.601913878464,0.603818474353,0.601112035939,0.575658532902,0.606695429187,0.00264461017258,6.05698556374e-05,0.0128086656396,0.0113576482707
